round,reward,cumulative_reward,price_selected,produced,lambda_value,distribution_changed
572,0.0,64.1,0.8,True,10.871910595658898,False
573,0.3,64.39999999999999,0.3,True,10.890884261619908,False
574,0.0,64.39999999999999,0.9,True,10.909857927580918,False
575,0.0,64.39999999999999,0.8,True,10.928831593541927,False
576,0.0,64.39999999999999,1.0,True,10.947805259502937,False
577,0.0,64.39999999999999,1.0,True,10.966778925463947,False
578,0.0,64.39999999999999,0.9,True,10.985752591424957,False
579,0.0,64.39999999999999,0.6,True,11.004726257385967,False
580,0.0,64.39999999999999,0.5,True,11.023699923346976,False
581,0.0,64.39999999999999,0.8,True,11.042673589307986,False
582,0.0,64.39999999999999,1.0,True,11.061647255268996,False
583,0.5,64.89999999999999,0.5,True,11.080620921230006,False
584,0.0,64.89999999999999,0.8,True,11.099594587191016,False
585,0.0,64.89999999999999,0.9,True,11.118568253152025,False
586,0.0,64.89999999999999,1.0,True,11.137541919113035,False
587,0.0,64.89999999999999,0.7,True,11.156515585074045,False
588,0.0,64.89999999999999,0.8,True,11.175489251035055,False
589,0.0,64.89999999999999,0.7,True,11.194462916996065,False
590,0.0,64.89999999999999,1.0,True,11.213436582957074,False
591,0.5,65.39999999999999,0.5,True,11.232410248918084,False
592,0.0,65.39999999999999,0.5,True,11.251383914879094,False
593,0.0,65.39999999999999,0.6,True,11.270357580840104,False
594,0.0,65.39999999999999,0.5,True,11.289331246801114,False
595,0.0,65.39999999999999,0.8,True,11.308304912762123,False
596,0.0,65.39999999999999,0.4,True,11.327278578723133,False
597,0.0,65.39999999999999,1.0,True,11.346252244684143,False
598,0.0,65.39999999999999,0.7,True,11.365225910645153,False
599,0.0,65.39999999999999,0.6,True,11.384199576606163,False
600,0.0,65.39999999999999,0.0,False,11.355739077664648,False
601,0.0,65.39999999999999,0.0,False,11.327278578723133,False
602,0.0,65.39999999999999,0.0,False,11.298818079781618,False
603,0.0,65.39999999999999,0.0,False,11.270357580840104,False
604,0.0,65.39999999999999,0.0,False,11.241897081898589,False
605,0.0,65.39999999999999,0.0,False,11.213436582957074,False
606,0.0,65.39999999999999,0.0,False,11.18497608401556,False
607,0.0,65.39999999999999,0.0,False,11.156515585074045,False
608,0.0,65.39999999999999,0.0,False,11.12805508613253,False
609,0.0,65.39999999999999,0.0,False,11.099594587191016,False
610,0.0,65.39999999999999,0.0,False,11.0711340882495,False
611,0.0,65.39999999999999,0.0,False,11.042673589307986,False
612,0.0,65.39999999999999,0.0,False,11.014213090366471,False
613,0.0,65.39999999999999,0.0,False,10.985752591424957,False
614,0.0,65.39999999999999,0.0,False,10.957292092483442,False
615,0.0,65.39999999999999,0.0,False,10.928831593541927,False
616,0.0,65.39999999999999,0.0,False,10.900371094600413,False
617,0.0,65.39999999999999,0.0,False,10.871910595658898,False
618,0.0,65.39999999999999,0.0,False,10.843450096717383,False
619,0.0,65.39999999999999,0.0,False,10.814989597775869,False
620,0.0,65.39999999999999,0.0,False,10.786529098834354,False
621,0.0,65.39999999999999,0.0,False,10.75806859989284,False
622,0.0,65.39999999999999,0.0,False,10.729608100951324,False
623,0.0,65.39999999999999,0.0,False,10.70114760200981,False
624,0.0,65.39999999999999,0.0,False,10.672687103068295,False
625,0.0,65.39999999999999,0.0,False,10.64422660412678,False
626,0.0,65.39999999999999,0.0,False,10.615766105185266,False
627,0.0,65.39999999999999,0.0,False,10.587305606243751,False
628,0.0,65.39999999999999,0.0,False,10.558845107302236,False
629,0.0,65.39999999999999,0.0,False,10.530384608360722,False
630,0.0,65.39999999999999,0.0,False,10.501924109419207,False
631,0.0,65.39999999999999,0.0,False,10.473463610477692,False
632,0.0,65.39999999999999,0.0,False,10.445003111536177,False
633,0.0,65.39999999999999,0.0,False,10.416542612594663,False
634,0.0,65.39999999999999,0.0,False,10.388082113653148,False
635,0.0,65.39999999999999,0.0,False,10.359621614711633,False
636,0.0,65.39999999999999,0.0,False,10.331161115770119,False
637,0.0,65.39999999999999,0.0,False,10.302700616828604,False
638,0.0,65.39999999999999,0.0,False,10.27424011788709,False
639,0.0,65.39999999999999,0.0,False,10.245779618945575,False
640,0.0,65.39999999999999,0.0,False,10.21731912000406,False
641,0.0,65.39999999999999,0.0,False,10.188858621062545,False
642,0.0,65.39999999999999,0.0,False,10.16039812212103,False
643,0.0,65.39999999999999,0.0,False,10.131937623179516,False
644,0.0,65.39999999999999,0.0,False,10.103477124238001,False
