round,reward,cumulative_reward,price_selected,produced,lambda_value,optimal_reward,optimal_cumulative
347,0.3,57.0,0.3,True,2.2009452514771937,0.0,89.0
348,0.8,57.8,0.8,True,2.2072698067975303,0.0,89.0
349,0.0,57.8,0.9,True,2.213594362117867,0.5,89.5
350,0.0,57.8,0.9,True,2.2199189174382035,0.5,90.0
351,0.0,57.8,1.0,True,2.22624347275854,0.5,90.5
352,0.0,57.8,0.9,True,2.2325680280788767,0.5,91.0
353,0.6,58.4,0.6,True,2.2388925833992133,0.0,91.0
354,0.0,58.4,0.5,True,2.24521713871955,0.0,91.0
355,0.0,58.4,0.9,True,2.2515416940398865,0.5,91.5
356,0.2,58.6,0.2,True,2.257866249360223,0.0,91.5
357,0.0,58.6,0.9,True,2.2641908046805597,0.5,92.0
358,0.0,58.6,1.0,True,2.2705153600008963,0.5,92.5
359,0.0,58.6,0.9,True,2.276839915321233,0.5,93.0
360,0.8,59.4,0.8,True,2.2831644706415695,0.0,93.0
361,0.0,59.4,0.9,True,2.289489025961906,0.5,93.5
362,0.0,59.4,0.8,True,2.2958135812822427,0.0,93.5
363,0.0,59.4,0.9,True,2.3021381366025793,0.5,94.0
364,0.0,59.4,1.0,True,2.308462691922916,0.5,94.5
365,0.0,59.4,0.8,True,2.3147872472432525,0.0,94.5
366,0.0,59.4,1.0,True,2.321111802563589,0.5,95.0
367,0.0,59.4,1.0,True,2.3274363578839257,0.5,95.5
368,0.0,59.4,0.7,True,2.3337609132042623,0.0,95.5
369,0.0,59.4,0.5,True,2.340085468524599,0.0,95.5
370,0.6,60.0,0.6,True,2.3464100238449355,0.0,95.5
371,0.0,60.0,0.2,True,2.352734579165272,0.0,95.5
372,0.6,60.6,0.6,True,2.3590591344856087,0.0,95.5
373,0.0,60.6,1.0,True,2.3653836898059453,0.5,96.0
374,0.0,60.6,0.5,True,2.371708245126282,0.0,96.0
375,0.8,61.4,0.8,True,2.3780328004466185,0.0,96.0
376,0.0,61.4,1.0,True,2.384357355766955,0.5,96.5
377,0.2,61.6,0.2,True,2.3906819110872917,0.0,96.5
378,0.0,61.6,1.0,True,2.3970064664076283,0.5,97.0
379,0.0,61.6,0.8,True,2.403331021727965,0.0,97.0
380,0.0,61.6,0.6,True,2.4096555770483015,0.0,97.0
381,0.0,61.6,1.0,True,2.415980132368638,0.5,97.5
382,0.9,62.5,0.9,True,2.4223046876889747,0.5,98.0
383,0.0,62.5,1.0,True,2.4286292430093113,0.5,98.5
384,0.0,62.5,1.0,True,2.434953798329648,0.5,99.0
385,0.0,62.5,1.0,True,2.4412783536499845,0.5,99.5
