round,ucb_reward,pd_reward,ucb_cumulative,pd_cumulative,ucb_price,pd_price,ucb_produced,pd_produced,pd_lambda
550,0.3,0.4,92.39999999999999,111.90000000000015,0.3,0.4,True,True,0.0
551,0.0,0.0,92.39999999999999,111.90000000000015,0.6,0.3,True,True,0.0
552,0.0,0.0,92.39999999999999,111.90000000000015,0.1,0.4,True,True,0.0
553,0.0,0.0,92.39999999999999,111.90000000000015,0.7,0.6,True,True,0.0
554,0.0,0.0,92.39999999999999,111.90000000000015,0.3,0.5,True,True,0.0
555,0.0,0.3,92.39999999999999,112.20000000000014,0.2,0.3,True,True,0.0
556,0.0,0.0,92.39999999999999,112.20000000000014,0.8,0.8,True,True,0.0
557,0.0,0.4,92.39999999999999,112.60000000000015,0.9,0.4,True,True,0.0
558,0.0,0.4,92.39999999999999,113.00000000000016,1.0,0.4,True,True,0.0
559,0.5,0.0,92.89999999999999,113.00000000000016,0.5,0.5,True,True,0.0
560,0.0,0.0,92.89999999999999,113.00000000000016,0.5,0.3,True,True,0.0
561,0.0,0.3,92.89999999999999,113.30000000000015,0.4,0.3,True,True,0.0
562,0.0,0.0,92.89999999999999,113.30000000000015,0.6,0.4,True,True,0.0
563,0.0,0.3,92.89999999999999,113.60000000000015,0.5,0.3,True,True,0.0
564,0.3,0.0,93.19999999999999,113.60000000000015,0.3,0.6,True,True,0.0
565,0.0,0.5,93.19999999999999,114.10000000000015,0.2,0.5,True,True,0.0
566,0.0,0.0,93.19999999999999,114.10000000000015,0.7,0.5,True,True,0.0
567,0.0,0.4,93.19999999999999,114.50000000000016,0.4,0.4,True,True,0.0
568,0.1,0.0,93.29999999999998,114.50000000000016,0.1,0.4,True,True,0.0
569,0.0,0.0,93.29999999999998,114.50000000000016,0.3,0.5,True,True,0.0
570,0.0,0.0,93.29999999999998,114.50000000000016,0.8,0.9,True,True,0.0
571,0.0,0.0,93.29999999999998,114.50000000000016,0.9,0.5,True,True,0.0
572,0.0,0.0,93.29999999999998,114.50000000000016,1.0,0.4,True,True,0.0
573,0.0,0.2,93.29999999999998,114.70000000000016,0.5,0.2,True,True,0.0
574,0.0,0.0,93.29999999999998,114.70000000000016,0.6,0.5,True,True,0.0
575,0.0,0.0,93.29999999999998,114.70000000000016,0.4,0.5,True,True,0.0
576,0.1,0.5,93.39999999999998,115.20000000000016,0.1,0.5,True,True,0.0
577,0.0,0.0,93.39999999999998,115.20000000000016,0.2,0.6,True,True,0.0
578,0.3,0.5,93.69999999999997,115.70000000000016,0.3,0.5,True,True,0.0
579,0.7,0.4,94.39999999999998,116.10000000000016,0.7,0.4,True,True,0.0
580,0.0,0.0,94.39999999999998,116.10000000000016,0.7,0.3,True,True,0.0
581,0.0,0.0,94.39999999999998,116.10000000000016,0.3,0.4,True,True,0.0
582,0.0,0.0,94.39999999999998,116.10000000000016,0.7,0.6,True,True,0.0
583,0.5,0.3,94.89999999999998,116.40000000000016,0.5,0.3,True,True,0.0
584,0.0,0.0,94.89999999999998,116.40000000000016,0.5,0.4,True,True,0.0
585,0.0,0.0,94.89999999999998,116.40000000000016,0.6,0.5,True,True,0.0
586,0.0,0.5,94.89999999999998,116.90000000000016,0.4,0.5,True,True,0.0
587,0.1,0.0,94.99999999999997,116.90000000000016,0.1,0.4,True,True,0.0
588,0.0,0.0,94.99999999999997,116.90000000000016,0.8,0.4,True,True,0.0
589,0.0,0.4,94.99999999999997,117.30000000000017,0.9,0.4,True,True,0.0
590,0.0,0.0,94.99999999999997,117.30000000000017,1.0,0.7,True,True,0.0
591,0.2,0.3,95.19999999999997,117.60000000000016,0.2,0.3,True,True,0.0
592,0.0,0.0,95.19999999999997,117.60000000000016,0.5,0.3,True,True,0.0
593,0.3,0.0,95.49999999999997,117.60000000000016,0.3,0.4,True,True,0.0
594,0.0,0.3,95.49999999999997,117.90000000000016,0.7,0.3,True,True,0.0
595,0.0,0.0,95.49999999999997,117.90000000000016,0.3,0.4,True,True,0.0
596,0.2,0.3,95.69999999999997,118.20000000000016,0.2,0.3,True,True,0.0
597,0.0,0.0,95.69999999999997,118.20000000000016,0.6,0.5,True,True,0.0
598,0.0,0.0,95.69999999999997,118.20000000000016,0.4,0.4,True,True,0.0
599,0.1,0.0,95.79999999999997,118.20000000000016,0.1,0.4,True,True,0.0
600,0.5,0.3,96.29999999999997,118.50000000000016,0.5,0.3,True,True,0.0
601,0.5,0.4,96.79999999999997,118.90000000000016,0.5,0.4,True,True,0.0
602,0.0,0.4,96.79999999999997,119.30000000000017,0.5,0.4,True,True,0.0
